Category,Latitude,Longitude,Street name,Outcome category,Outcome date
robbery,51.544863,-0.117764,On or near The Drive,Investigation complete; no suspect identified,2023-09
robbery,51.546852,-0.104471,On or near Holloway Road,Investigation complete; no suspect identified,2023-05
robbery,51.544863,-0.117764,On or near The Drive,Investigation complete; no suspect identified,2023-08
robbery,51.540219,-0.115836,On or near Thornhill Square,Investigation complete; no suspect identified,2023-10
robbery,51.535936,-0.116806,On or near Edward Square,Status update unavailable,2023-09
robbery,51.545479,-0.105711,On or near Highbury Station Road,Status update unavailable,2023-09
robbery,51.545489,-0.103576,On or near Hampton Court,Investigation complete; no suspect identified,2023-10
robbery,51.533651,-0.106707,On or near Chapel Market,Court result unavailable,2023-11
robbery,51.539690,-0.142983,On or near Sports/recreation Area,Investigation complete; no suspect identified,2023-06
robbery,51.532265,-0.107153,On or near Angel Mews,Investigation complete; no suspect identified,2023-06
robbery,51.533780,-0.123095,On or near London King's Cross,Investigation complete; no suspect identified,2023-09
robbery,51.535412,-0.139740,On or near Symes Mews,Investigation complete; no suspect identified,2023-08
robbery,51.539725,-0.144625,On or near Early Mews,Investigation complete; no suspect identified,2023-06
robbery,51.539690,-0.142983,On or near Sports/recreation Area,Status update unavailable,2023-09
robbery,51.541576,-0.146237,On or near Camden Lock Place,Investigation complete; no suspect identified,2023-06
robbery,51.528238,-0.133674,On or near Parking Area,Investigation complete; no suspect identified,2023-06
robbery,51.533930,-0.130212,On or near Chenies Place,Status update unavailable,2023-09
robbery,51.536322,-0.146667,On or near Prince Albert Road,Investigation complete; no suspect identified,2023-06
robbery,51.540843,-0.146541,On or near Ferry Terminal,Status update unavailable,2023-09
robbery,51.529278,-0.122156,On or near Argyle Square,Investigation complete; no suspect identified,2023-06
robbery,51.547901,-0.124418,On or near New Clock Tower Place,Investigation complete; no suspect identified,2023-05
robbery,51.533651,-0.106707,On or near Chapel Market,Investigation complete; no suspect identified,2023-09
robbery,51.548720,-0.125004,On or near Goodinge Close,Investigation complete; no suspect identified,2023-08
robbery,51.543166,-0.140462,On or near Jeffrey's Street,Investigation complete; no suspect identified,2023-06
robbery,51.534409,-0.131490,On or near Goldington Street,Investigation complete; no suspect identified,2023-09
robbery,51.540098,-0.136938,On or near Royal College Street,Investigation complete; no suspect identified,2023-06
robbery,51.531715,-0.121637,On or near Caledonia Street,Investigation complete; no suspect identified,2023-08
robbery,51.541987,-0.139270,On or near Camden Road,Investigation complete; no suspect identified,2023-06
robbery,51.529849,-0.123588,On or near Belgrove Street,Investigation complete; no suspect identified,2023-06
robbery,51.530183,-0.123070,On or near Crestfield Street,Investigation complete; no suspect identified,2023-08
robbery,51.549619,-0.140271,On or near Frideswide Place,Investigation complete; no suspect identified,2023-06
robbery,51.540595,-0.144307,On or near Theatre/concert Hall,Investigation complete; no suspect identified,2023-06
robbery,51.539725,-0.144625,On or near Early Mews,Investigation complete; no suspect identified,2023-06
robbery,51.531658,-0.112455,On or near Hermes Street,Investigation complete; no suspect identified,2023-06
robbery,51.531715,-0.121637,On or near Caledonia Street,Status update unavailable,2023-09
robbery,51.553521,-0.121590,On or near Keighley Close,Investigation complete; no suspect identified,2023-09
robbery,51.527855,-0.122027,On or near Cromer Street,Status update unavailable,2023-09
robbery,51.530183,-0.123070,On or near Crestfield Street,Investigation complete; no suspect identified,2023-08
robbery,51.548116,-0.132241,On or near Busby Place,Investigation complete; no suspect identified,2023-05
robbery,51.539690,-0.142983,On or near Sports/recreation Area,Investigation complete; no suspect identified,2023-05
robbery,51.535657,-0.140422,On or near Miller Street,Investigation complete; no suspect identified,2023-09
robbery,51.539425,-0.142748,On or near Camden Town,Status update unavailable,2023-09
robbery,51.535412,-0.139740,On or near Symes Mews,Investigation complete; no suspect identified,2023-08
robbery,51.551278,-0.127496,On or near Tansley Close,Investigation complete; no suspect identified,2023-08
robbery,51.531273,-0.120992,On or near Omega Place,Investigation complete; no suspect identified,2023-09
robbery,51.527861,-0.131412,On or near Grafton Place,Status update unavailable,2023-09
robbery,51.537332,-0.142877,On or near Arlington Road,Investigation complete; no suspect identified,2023-08
robbery,51.538136,-0.141993,On or near Camden High Street,Investigation complete; no suspect identified,2023-09
robbery,51.548720,-0.122725,On or near North Road,Status update unavailable,2023-09
robbery,51.545559,-0.142787,On or near Kelly Street,Status update unavailable,2023-09
robbery,51.544361,-0.147235,On or near Harmood Street,Status update unavailable,2023-09
robbery,51.532082,-0.108660,On or near Further/higher Educational Building,Investigation complete; no suspect identified,2023-09
robbery,51.546621,-0.125336,On or near Drovers Way,Investigation complete; no suspect identified,2023-06
robbery,51.530967,-0.131645,On or near Phoenix Road,Investigation complete; no suspect identified,2023-05
robbery,51.531428,-0.126147,On or near Shopping Area,Investigation complete; no suspect identified,2023-07
robbery,51.533758,-0.143729,On or near Park Village East,Investigation complete; no suspect identified,2023-09
robbery,51.534855,-0.138075,On or near Nightclub,Investigation complete; no suspect identified,2023-08
robbery,51.526763,-0.127420,On or near Cartwright Gardens,Investigation complete; no suspect identified,2023-08
robbery,51.534855,-0.138075,On or near Nightclub,Investigation complete; no suspect identified,2023-07
robbery,51.539690,-0.142983,On or near Sports/recreation Area,Investigation complete; no suspect identified,2023-10
robbery,51.551142,-0.125208,On or near Middleton Mews,Investigation complete; no suspect identified,2023-05
robbery,51.548057,-0.117301,On or near Watkinson Road,Investigation complete; no suspect identified,2023-09
robbery,51.534855,-0.138075,On or near Nightclub,Investigation complete; no suspect identified,2023-09
robbery,51.534266,-0.138921,On or near Mornington Crescent,Investigation complete; no suspect identified,2023-09
robbery,51.533578,-0.108815,On or near White Conduit Street,Investigation complete; no suspect identified,2023-07
robbery,51.546745,-0.103956,On or near Nightclub,Investigation complete; no suspect identified,2023-11
